timestamp;co2;hum;lum;temp;confort
1261123;246.11666666666667;46.275;57.92248062015504;19.2626;3.4
1261124;244.36666666666667;47.1875;54.44401544401544;19.058;3.4
1261125;248.58333333333334;47.425;46.996138996138995;19.025400000000005;3.4
1261126;242.61666666666667;48.1375;43.77131782945737;19.000950000000003;3.4
1261127;243.41666666666666;49.2875;36.04247104247104;18.918200000000002;3.4
1261128;246.48333333333332;50.25;22.23938223938224;18.80234999999999;3.4
1261129;248.23333333333332;49.825;21.6;18.177800000000005;3.4
1261130;243.65;49.425;21.27027027027027;17.872800000000005;3.1
1261131;242.96666666666667;49.25;20.915057915057915;17.55345;3.1
1261132;240.56666666666666;49.1;20.802325581395348;17.25705;3.1
1261133;237.15;49.1875;20.888030888030887;17.0143;3.1
1261134;237.46666666666667;49.3625;21.441860465116278;16.723232323232324;2.8
1261135;236.21666666666667;49.4875;21.27027027027027;16.5973;2.8
1261136;239.06666666666666;49.4625;21.235521235521237;16.4413;2.8
1261137;237.51666666666668;49.6625;21.3062015503876;16.3329;2.8
1261138;239.3;49.6625;20.652509652509654;16.219649999999998;2.8
1261139;238.15;49.7125;20.826254826254825;16.2203;2.8
1261140;238.5;49.95;21.600775193798448;16.16215;2.8
1261141;237.96666666666667;50.0625;21.501930501930502;16.0442;2.8
1261142;236.33333333333334;49.9375;20.94573643410853;16.060850000000002;2.8
1261143;232.85;49.9125;20.945945945945947;16.009450000000005;2.8
1261144;233.46666666666667;49.925;20.62162162162162;15.915899999999997;2.5
1261145;235.9;49.8625;20.608527131782946;15.933900000000001;2.5
1261146;238.16666666666666;50.0125;20.74903474903475;15.915399999999991;2.5
1261147;236.75;50.1875;21.2972972972973;15.901250000000003;2.5
1261148;236.73333333333332;50.2625;20.9031007751938;15.825000000000003;2.5
1261149;234.56666666666666;50.45;20.895752895752896;15.824850000000003;2.5
1261150;233.71666666666667;50.6375;21.22093023255814;15.645949999999997;2.5
1261151;234.35;51.0875;21.7890625;15.587049999999998;2.5
1261152;238.63333333333333;51.15;21.922779922779924;15.554799999999998;2.5
1261153;236.48333333333332;51.2625;22.25581395348837;15.474797979797978;2.5
1261154;237.41666666666666;51.2375;22.486486486486488;15.410500000000003;2.5
